hn_id,timepoint,component,stage,filename,url,selected_for_frozen_pair_set
HN22,pre,barcodes,metadata,GSE288199_HN22_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_pre_T_barcodes.tsv.gz,True
HN22,pre,features,metadata,GSE288199_HN22_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_pre_T_features.tsv.gz,True
HN22,pre,matrix,matrix,GSE288199_HN22_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_pre_T_matrix.mtx.gz,True
HN23,post,barcodes,metadata,GSE288199_HN23_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_post_T_barcodes.tsv.gz,True
HN23,post,features,metadata,GSE288199_HN23_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_post_T_features.tsv.gz,True
HN23,post,matrix,matrix,GSE288199_HN23_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_post_T_matrix.mtx.gz,True
HN23,pre,barcodes,metadata,GSE288199_HN23_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_pre_T_barcodes.tsv.gz,True
HN23,pre,features,metadata,GSE288199_HN23_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_pre_T_features.tsv.gz,True
HN23,pre,matrix,matrix,GSE288199_HN23_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN23_pre_T_matrix.mtx.gz,True
HN24,post,barcodes,metadata,GSE288199_HN24_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_post_T_barcodes.tsv.gz,True
HN24,post,features,metadata,GSE288199_HN24_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_post_T_features.tsv.gz,True
HN24,post,matrix,matrix,GSE288199_HN24_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_post_T_matrix.mtx.gz,True
HN24,pre,barcodes,metadata,GSE288199_HN24_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_pre_T_barcodes.tsv.gz,True
HN24,pre,features,metadata,GSE288199_HN24_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_pre_T_features.tsv.gz,True
HN24,pre,matrix,matrix,GSE288199_HN24_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN24_pre_T_matrix.mtx.gz,True
HN25,post,barcodes,metadata,GSE288199_HN25_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_post_T_barcodes.tsv.gz,True
HN25,post,features,metadata,GSE288199_HN25_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_post_T_features.tsv.gz,True
HN25,post,matrix,matrix,GSE288199_HN25_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_post_T_matrix.mtx.gz,True
HN25,pre,barcodes,metadata,GSE288199_HN25_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_pre_T_barcodes.tsv.gz,True
HN25,pre,features,metadata,GSE288199_HN25_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_pre_T_features.tsv.gz,True
HN25,pre,matrix,matrix,GSE288199_HN25_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN25_pre_T_matrix.mtx.gz,True
HN26,post,barcodes,metadata,GSE288199_HN26_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_post_T_barcodes.tsv.gz,True
HN26,post,features,metadata,GSE288199_HN26_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_post_T_features.tsv.gz,True
HN26,post,matrix,matrix,GSE288199_HN26_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_post_T_matrix.mtx.gz,True
HN26,pre,barcodes,metadata,GSE288199_HN26_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_pre_T_barcodes.tsv.gz,True
HN26,pre,features,metadata,GSE288199_HN26_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN26_pre_T_features.tsv.gz,True
